symbol,timestamp,source,data_type,bid,ask,price,volume,spread_raw,spread_table,volatility,market_sentiment,trading_activity
BP,1736081458609,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.43,6437400.0,-1.0,-1.0,0.677,0.334,41.97
XOM,1736081461402,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,108.71,14673882.0,-1.0,-1.0,0.415,0.04,63.22
BP,1736081469366,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.37,6701783.0,-1.0,-1.0,0.681,0.179,37.57
XOM,1736081471127,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,108.79,14242087.0,-1.0,-1.0,0.414,0.044,61.22
SHEL,1736081472231,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,65.12,5546349.0,-1.0,-1.0,0.382,-0.313,55.09
BP,1736081475651,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.4,6745715.0,-1.0,-1.0,0.679,0.195,41.54
COP,1736081476462,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.1,3350245.0,-1.0,-1.0,1.532,0.15,29.14
SHEL,1736081477709,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.92,5569792.0,-1.0,-1.0,0.396,-0.486,54.84
COP,1736081479349,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.39,3205168.0,-1.0,-1.0,1.549,0.138,33.13
XOM,1736081479980,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,108.81,14655699.0,-1.0,-1.0,0.417,0.108,64.6
BP,1736081481913,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.39,6611759.0,-1.0,-1.0,0.675,0.127,38.2
COP,1736081484031,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,99.94,3303733.0,-1.0,-1.0,1.547,0.12,37.95
COP,1736081485408,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.16,3146330.0,-1.0,-1.0,1.554,0.077,33.77
XOM,1736081486970,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,109.02,14474101.0,-1.0,-1.0,0.419,0.138,67.55
SHEL,1736081488962,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.79,5758875.0,-1.0,-1.0,0.388,-0.451,58.47
SHEL,1736081489093,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.88,5595815.0,-1.0,-1.0,0.38,-0.498,53.65
XOM,1736081495328,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,108.93,14796144.0,-1.0,-1.0,0.42,0.087,65.31
BP,1736081496107,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.15,6939439.0,-1.0,-1.0,0.669,0.09,32.67
SHEL,1736081496287,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.85,5779371.0,-1.0,-1.0,0.388,-0.514,58.28
BP,1736081497048,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.13,7282291.0,-1.0,-1.0,0.669,0.134,33.29
XOM,1736081501191,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,109.19,13951144.0,-1.0,-1.0,0.425,-0.054,57.51
SHEL,1736081505716,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.68,5942572.0,-1.0,-1.0,0.397,-0.641,56.19
SHEL,1736081509267,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.56,6221273.0,-1.0,-1.0,0.402,-0.58,59.85
COP,1736081512142,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.05,3095528.0,-1.0,-1.0,1.516,0.258,39.33
SHEL,1736081517020,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.8,6105273.0,-1.0,-1.0,0.397,-0.611,65.23
SHEL,1736081521227,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.32,5929593.0,-1.0,-1.0,0.403,-0.599,65.92
SHEL,1736081522834,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.63,5841264.0,-1.0,-1.0,0.401,-0.622,61.75
SHEL,1736081524134,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.41,5799647.0,-1.0,-1.0,0.406,-0.722,61.29
BP,1736081528014,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.82,7111074.0,-1.0,-1.0,0.652,0.041,33.71
SHEL,1736081530613,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.35,5665730.0,-1.0,-1.0,0.415,-0.854,64.68
BP,1736081535112,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.93,7729026.0,-1.0,-1.0,0.664,-0.014,39.86
COP,1736081536005,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,99.19,3164717.0,-1.0,-1.0,1.479,0.312,44.4
BP,1736081538553,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.91,7643694.0,-1.0,-1.0,0.659,0.06,38.3
BP,1736081539503,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.76,7574633.0,-1.0,-1.0,0.666,0.063,37.8
BP,1736081540340,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.84,7388725.0,-1.0,-1.0,0.661,0.054,40.89
BP,1736081545419,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.04,7322789.0,-1.0,-1.0,0.674,-0.032,48.25
SHEL,1736081549226,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.03,5437067.0,-1.0,-1.0,0.433,-0.788,64.0
SHEL,1736081550236,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.11,5166771.0,-1.0,-1.0,0.437,-0.701,65.1
XOM,1736081555089,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,109.77,12393771.0,-1.0,-1.0,0.41,-0.103,79.14
XOM,1736081556593,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,109.35,12414902.0,-1.0,-1.0,0.418,-0.034,80.16
SHEL,1736081560404,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.4,5091892.0,-1.0,-1.0,0.437,-0.741,68.67
COP,1736081563035,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.66,3063217.0,-1.0,-1.0,1.554,0.305,48.89
COP,1736081564906,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.82,3146148.0,-1.0,-1.0,1.582,0.246,53.01
XOM,1736081568404,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,109.89,12104879.0,-1.0,-1.0,0.414,0.057,80.63
COP,1736081571330,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,101.45,3146189.0,-1.0,-1.0,1.542,0.316,50.19
COP,1736081571716,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,101.14,3245392.0,-1.0,-1.0,1.561,0.243,51.84
XOM,1736081575128,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,110.03,12451908.0,-1.0,-1.0,0.418,0.044,87.34
BP,1736081575249,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.35,6501621.0,-1.0,-1.0,0.652,-0.273,48.93
BP,1736081576080,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.23,6630313.0,-1.0,-1.0,0.64,-0.308,46.58
BP,1736081577482,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.09,6820847.0,-1.0,-1.0,0.639,-0.349,42.58
COP,1736081577727,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,101.01,3311114.0,-1.0,-1.0,1.561,0.183,56.15
SHEL,1736081578143,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.42,5121278.0,-1.0,-1.0,0.427,-0.686,72.26
BP,1736081584666,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.11,6520407.0,-1.0,-1.0,0.63,-0.253,40.07
XOM,1736081587204,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,110.83,11754002.0,-1.0,-1.0,0.43,0.066,92.33
COP,1736081589304,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.08,3340773.0,-1.0,-1.0,1.596,0.026,59.32
COP,1736081590566,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.12,3406614.0,-1.0,-1.0,1.606,-0.047,55.18
XOM,1736081593741,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,110.73,12040654.0,-1.0,-1.0,0.431,0.232,90.24
COP,1736081594982,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.03,3576842.0,-1.0,-1.0,1.632,-0.135,56.15
COP,1736081595378,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.04,3433117.0,-1.0,-1.0,1.605,-0.048,53.16
COP,1736081596519,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.49,3694066.0,-1.0,-1.0,1.623,0.043,53.51
XOM,1736081598079,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,110.93,12370870.0,-1.0,-1.0,0.432,0.39,91.5
XOM,1736081602282,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,111.08,12918033.0,-1.0,-1.0,0.429,0.351,86.95
COP,1736081604755,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.49,3761771.0,-1.0,-1.0,1.656,0.124,52.3
XOM,1736081608616,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,110.69,13334142.0,-1.0,-1.0,0.437,0.421,82.66
SHEL,1736081611661,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.51,4799528.0,-1.0,-1.0,0.438,-0.791,69.53
BP,1736081612644,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.19,6310154.0,-1.0,-1.0,0.641,-0.133,33.43
XOM,1736081612777,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,110.14,13122566.0,-1.0,-1.0,0.444,0.52,82.85
BP,1736081613379,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.11,6085714.0,-1.0,-1.0,0.651,-0.18,28.44
BP,1736081615868,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.29,6109375.0,-1.0,-1.0,0.656,-0.072,30.05
SHEL,1736081616938,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.71,5019295.0,-1.0,-1.0,0.446,-0.87,70.48
XOM,1736081617646,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,110.05,12691846.0,-1.0,-1.0,0.449,0.6,86.06
XOM,1736081619927,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,110.49,12611195.0,-1.0,-1.0,0.455,0.514,89.31
COP,1736081624266,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.64,4145457.0,-1.0,-1.0,1.62,0.136,51.41
XOM,1736081628769,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,110.74,12102610.0,-1.0,-1.0,0.454,0.512,85.11
XOM,1736081637064,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,111.65,11429509.0,-1.0,-1.0,0.466,0.347,84.42
COP,1736081637762,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.61,3904412.0,-1.0,-1.0,1.558,0.219,51.01
XOM,1736081638492,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,111.6,11368930.0,-1.0,-1.0,0.461,0.341,81.3
COP,1736081639657,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.6,3727431.0,-1.0,-1.0,1.536,0.215,52.26
SHEL,1736081641323,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.44,5259962.0,-1.0,-1.0,0.444,-0.782,73.9
XOM,1736081643414,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,111.34,10733171.0,-1.0,-1.0,0.465,0.432,75.34
COP,1736081644989,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.54,3732419.0,-1.0,-1.0,1.529,0.13,49.65
COP,1736081645502,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.89,3548656.0,-1.0,-1.0,1.559,0.06,51.51
XOM,1736081647938,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,111.76,10517300.0,-1.0,-1.0,0.46,0.472,69.83
BP,1736081650764,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.05,6237444.0,-1.0,-1.0,0.652,-0.115,36.75
COP,1736081653257,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,101.29,3648867.0,-1.0,-1.0,1.58,0.103,52.31
SHEL,1736081662368,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,63.96,5257666.0,-1.0,-1.0,0.406,-0.951,85.9
COP,1736081664640,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,101.82,3621822.0,-1.0,-1.0,1.504,-0.068,49.33
SHEL,1736081666971,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,63.89,4951029.0,-1.0,-1.0,0.405,-1.0,86.88
XOM,1736081676670,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,111.01,10271714.0,-1.0,-1.0,0.481,0.445,75.73
SHEL,1736081679088,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.33,4668419.0,-1.0,-1.0,0.403,-1.0,80.32
SHEL,1736081683990,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.57,4474181.0,-1.0,-1.0,0.408,-1.0,77.09
XOM,1736081685312,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,111.61,10162960.0,-1.0,-1.0,0.476,0.461,69.85
SHEL,1736081686734,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.64,4456273.0,-1.0,-1.0,0.409,-0.953,76.23
COP,1736081689833,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.54,3432385.0,-1.0,-1.0,1.509,-0.027,46.11
XOM,1736081693325,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,111.32,10636066.0,-1.0,-1.0,0.48,0.423,64.74
SHEL,1736081694058,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.85,4321627.0,-1.0,-1.0,0.406,-0.906,81.08
COP,1736081699569,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,101.02,3457951.0,-1.0,-1.0,1.51,0.008,45.87
SHEL,1736081701141,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.66,4239826.0,-1.0,-1.0,0.416,-0.779,81.09
XOM,1736081709122,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,111.59,9840384.0,-1.0,-1.0,0.468,0.33,61.77
BP,1736081714108,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.29,5696040.0,-1.0,-1.0,0.627,-0.1,45.97
COP,1736081715759,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.74,3575581.0,-1.0,-1.0,1.532,0.028,43.47
COP,1736081721185,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.97,3462023.0,-1.0,-1.0,1.526,0.11,44.97
XOM,1736081721704,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,110.02,9490554.0,-1.0,-1.0,0.494,0.411,70.04
COP,1736081724282,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,101.13,3510830.0,-1.0,-1.0,1.541,0.063,41.51
SHEL,1736081729857,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.49,4139678.0,-1.0,-1.0,0.398,-0.824,81.14
XOM,1736081731718,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,110.3,9538182.0,-1.0,-1.0,0.477,0.519,60.4
COP,1736081735226,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,101.95,3218875.0,-1.0,-1.0,1.653,0.355,37.41
BP,1736081741038,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.61,6267548.0,-1.0,-1.0,0.638,-0.033,32.77
BP,1736081742806,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.64,5978093.0,-1.0,-1.0,0.636,-0.122,29.69
BP,1736081744064,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.5,5911243.0,-1.0,-1.0,0.631,-0.111,33.29
SHEL,1736081747540,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.94,3880379.0,-1.0,-1.0,0.405,-0.915,71.43
SHEL,1736081751681,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,65.17,3802567.0,-1.0,-1.0,0.411,-0.929,70.64
BP,1736081754030,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.43,6054348.0,-1.0,-1.0,0.628,-0.056,31.79
COP,1736081755636,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,101.75,3131239.0,-1.0,-1.0,1.703,0.368,31.06
BP,1736081757358,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.55,5825428.0,-1.0,-1.0,0.634,-0.04,27.38
BP,1736081762132,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.55,6102233.0,-1.0,-1.0,0.644,0.048,22.4
SHEL,1736081763703,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.39,3758124.0,-1.0,-1.0,0.409,-0.991,68.74
BP,1736081764190,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.47,6222522.0,-1.0,-1.0,0.651,0.059,23.47
SHEL,1736081773331,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.29,3681146.0,-1.0,-1.0,0.41,-0.92,71.44
SHEL,1736081774168,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.59,3535825.0,-1.0,-1.0,0.417,-0.869,72.39
XOM,1736081775009,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,108.99,9021878.0,-1.0,-1.0,0.471,0.59,68.67
SHEL,1736081775402,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.66,3389852.0,-1.0,-1.0,0.423,-0.966,72.05
COP,1736081777303,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,102.23,3048357.0,-1.0,-1.0,1.675,0.447,33.49
XOM,1736081779216,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,109.48,8670336.0,-1.0,-1.0,0.477,0.612,66.74
COP,1736081779876,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,101.95,3065276.0,-1.0,-1.0,1.693,0.415,27.11
COP,1736081783006,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,101.18,3027302.0,-1.0,-1.0,1.742,0.349,21.99
SHEL,1736081790874,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.67,3044783.0,-1.0,-1.0,0.425,-0.975,65.46
COP,1736081792487,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,101.69,3094051.0,-1.0,-1.0,1.727,0.447,18.93
SHEL,1736081795717,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.42,3162189.0,-1.0,-1.0,0.423,-0.929,65.1
BP,1736081795898,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.33,7168575.0,-1.0,-1.0,0.635,0.035,5.87
SHEL,1736081797726,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.38,3289065.0,-1.0,-1.0,0.417,-0.858,68.68
BP,1736081798897,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.19,6882017.0,-1.0,-1.0,0.633,0.125,5.31
XOM,1736081808403,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,109.48,8303347.0,-1.0,-1.0,0.459,0.525,75.74
COP,1736081813432,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.71,2888273.0,-1.0,-1.0,1.625,0.54,9.53
BP,1736081814656,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.2,6745834.0,-1.0,-1.0,0.632,0.065,2.56
BP,1736081816654,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.21,6732132.0,-1.0,-1.0,0.625,-0.016,5.65
SHEL,1736081821041,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.44,3729392.0,-1.0,-1.0,0.407,-0.917,66.86
COP,1736081823787,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,101.11,2996556.0,-1.0,-1.0,1.654,0.617,12.47
BP,1736081826361,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.18,6554282.0,-1.0,-1.0,0.642,0.055,0.0
SHEL,1736081839991,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.52,3557801.0,-1.0,-1.0,0.395,-0.888,67.93
COP,1736081849933,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,99.87,2522822.0,-1.0,-1.0,1.766,0.684,10.89
XOM,1736081851994,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,109.27,7993569.0,-1.0,-1.0,0.45,0.537,66.25
XOM,1736081852982,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,108.74,8197147.0,-1.0,-1.0,0.446,0.56,61.85
BP,1736081855455,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.16,5991181.0,-1.0,-1.0,0.64,0.171,1.0
SHEL,1736081857051,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.07,3102885.0,-1.0,-1.0,0.408,-0.958,76.0
SHEL,1736081861856,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,63.79,3084394.0,-1.0,-1.0,0.409,-0.939,73.09
COP,1736081864783,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,99.77,2559359.0,-1.0,-1.0,1.827,0.697,5.49
COP,1736081868493,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.11,2537870.0,-1.0,-1.0,1.851,0.716,1.7
SHEL,1736081874286,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,63.39,3174316.0,-1.0,-1.0,0.425,-0.691,65.95
SHEL,1736081883305,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,63.15,3238523.0,-1.0,-1.0,0.43,-0.701,68.87
XOM,1736081884330,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,108.64,7881197.0,-1.0,-1.0,0.456,0.579,50.41
BP,1736081885031,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.96,6178563.0,-1.0,-1.0,0.629,0.19,7.46
COP,1736081887328,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.3,2306951.0,-1.0,-1.0,1.869,0.698,7.89
COP,1736081890439,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.39,2404757.0,-1.0,-1.0,1.897,0.664,6.8
SHEL,1736081891861,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,63.13,3402988.0,-1.0,-1.0,0.417,-0.618,70.18
COP,1736081894934,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.85,2535921.0,-1.0,-1.0,1.87,0.602,0.0
XOM,1736081897670,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,109.63,7570947.0,-1.0,-1.0,0.448,0.864,50.33
SHEL,1736081901157,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,63.07,3458148.0,-1.0,-1.0,0.411,-0.676,68.2
SHEL,1736081903045,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,62.82,3556773.0,-1.0,-1.0,0.412,-0.62,63.66
COP,1736081904211,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.33,2411917.0,-1.0,-1.0,1.8,0.696,4.81
XOM,1736081906194,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,108.79,7828088.0,-1.0,-1.0,0.443,0.777,48.86
XOM,1736081907930,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,109.05,8112668.0,-1.0,-1.0,0.441,0.779,45.29
COP,1736081909769,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.49,2418535.0,-1.0,-1.0,1.772,0.787,2.46
SHEL,1736081911758,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,62.57,3611383.0,-1.0,-1.0,0.42,-0.699,62.24
XOM,1736081913724,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,109.24,8101829.0,-1.0,-1.0,0.439,0.88,46.69
BP,1736081914568,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,29.83,6222296.0,-1.0,-1.0,0.63,0.01,10.9
COP,1736081922664,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.54,2493022.0,-1.0,-1.0,1.759,0.751,2.79
COP,1736081926648,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.05,2375963.0,-1.0,-1.0,1.74,0.752,4.37
COP,1736081928383,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.1,2237357.0,-1.0,-1.0,1.704,0.753,3.22
COP,1736081929328,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.51,2215285.0,-1.0,-1.0,1.725,0.778,6.21
SHEL,1736081931107,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,62.71,3362488.0,-1.0,-1.0,0.427,-0.618,69.25
SHEL,1736081935515,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,62.63,3240667.0,-1.0,-1.0,0.42,-0.543,67.1
SHEL,1736081947549,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,62.54,3018168.0,-1.0,-1.0,0.405,-0.679,66.83
XOM,1736081947997,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,109.39,8181856.0,-1.0,-1.0,0.438,0.863,50.37
COP,1736081949945,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,102.21,2199447.0,-1.0,-1.0,1.665,1.0,3.58
XOM,1736081958900,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,109.67,7964914.0,-1.0,-1.0,0.45,0.958,51.07
BP,1736081963529,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.08,6208940.0,-1.0,-1.0,0.579,0.23,7.18
XOM,1736081964701,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,109.48,7874829.0,-1.0,-1.0,0.454,0.889,48.31
COP,1736081965947,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,102.32,2261820.0,-1.0,-1.0,1.669,0.983,6.58
BP,1736081973680,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.05,5721160.0,-1.0,-1.0,0.584,0.237,10.57
